Monomer A1 type,Monomer A2 type,A1/A2 ratio,"Monomer A concentration, wt%",Monomer B type,"Monomer B concentration, wt%",Organic solvent type, Additive X1 type in aqueous phase,"Additive X1 concentration, wt%", Additive X2 type in aqueous phase,"Additive X2 concentration, wt%",Aqueous phase pH, Additive Y type in organic  phase,"Additive Y concentration, wt%",Nanomaterials type in aqueous phase,"Nanomaterials loading in aqueous phase, wt%",Nanomaterials type in organic phase,"Nanomaterials loading in organnic phase, wt%",Nanomateials morphology,"Polymerization time, s","Heat curing time, min","Heat curing termperature, degree",Substrate membrane type,substrate membrane pore size,"Transmembrane presurre, bar","NaCl concentration, ppm","MgSO4 concentratin, ppm","Na2SO4 concentration, ppm","MgCl2 concentration, ppm","CaCl2 Concentration, ppm","Permeability, LMH/bar","NaCl rejection, %","Mg2SO4 rejection, %","Na2SO4 rejection, %","MgCl2 rejection, %","CaCl2 rejection, %",Literature DOI
Piperazine,,,0.2,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,120,,25,1,,2,1000,1000,1000,1000,,7.5,,87,86,10,,10.1016/j.desal.2013.11.035
Piperazine,,,0.5,trimesoyl chloride (265.5),0.1,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,,,7,,,98,,,10.1016/j.memsci.2009.03.011
Piperazine,,,1.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.1,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,,,4,,,92.5,,,10.1016/j.memsci.2009.03.011
Piperazine,,,1,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.1,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,,,8.6,,,93,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.1,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,,,10.3,65,92,95,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.25,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.1,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,500,,12,,,87.5,30,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.15,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,,,9.2,,,96,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.125,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,,,9.5,,,95.5,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.075,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,,,11.8,,,90,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.05,Isoparaphin-G,,,,,10,,,,,,,,60,,80,2,20,5,500,500,500,,,14.2,,,83,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.1,Isoparaphin-G,,,,,10,,,,,,,,30,,80,2,20,5,500,500,500,,,13.2,,,86,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.1,Isoparaphin-G,,,,,10,,,,,,,,90,,80,2,20,5,500,500,500,,,8.4,,,95.5,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.1,Isoparaphin-G,,,,,10,,,,,,,,120,,80,2,20,5,500,500,500,,,5,,,96.3,,,10.1016/j.memsci.2009.03.011
Piperazine,,,0.5,"3,3′,5,5′-biphenyl tetraacyl chloride (330.25)",0.1,Isoparaphin-G,sodum dodecyl sulfate,0.05,,,,,,,,,,,10,10,80,62,,4,500,500,500,,,14.58,58,,40.9,,,10.1016/j.memsci.2011.05.015
Piperazine,,,1,trimesoyl chloride (265.5),0.13,cyclohexane ,,,,,,,,,,,,,10,,25,4,,10,3000,3000,3000,,,6.6,40,93,95,,,10.1016/j.memsci.2005.12.014
Piperazine,,,0.2,trimesoyl chloride (265.5),0.1,hexane,,,,,,,,,,,,,45,10,100,5,500,10.3,1000,1000,1000,,,9.17,44.6,84.6,,,,10.1016/j.desal.2014.05.007
Piperazine,,,0.2,trimesoyl chloride (265.5),0.1,hexane,,,,,,,,,,,,,45,10,100,6,200,10.3,1000,1000,1000,,,5.65,35.3,87,,,,10.1016/j.desal.2014.05.007
Piperazine,,,0.2,trimesoyl chloride (265.5),0.1,hexane,,,,,,,,,,,,,45,10,100,7,100,10.3,1000,1000,1000,,,2.48,47.8,92.3,,,,10.1016/j.desal.2014.05.007
Piperazine,,,2,trimesoyl chloride (265.5),0.3,hexane,,,,,,,,,,,,,60,5,60,8,,5,1000,1000,1000,,,4,,87.5,95,,,10.1016/j.desal.2013.08.021
Piperazine,,,2,trimesoyl chloride (265.5),0.3,hexane,,,,,,,,,,,,,60,5,60,9,,5,1000,1000,1000,,,5,,89,95.5,,,10.1016/j.desal.2013.08.021
Piperazine,,,2,trimesoyl chloride (265.5),0.3,hexane,,,,,,,,,,,,,60,5,60,10,,5,1000,1000,1000,,,4.2,,87.5,95,,,10.1016/j.desal.2013.08.021
Piperazine,,,2,trimesoyl chloride (265.5),0.3,hexane,,,,,,,,,,,,,60,5,60,11,,5,1000,1000,1000,,,3,,87.5,96,,,10.1016/j.desal.2013.08.021
Piperazine,,,2,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,40,3,80,54,58,5,1000,1000,1000,,,11.4,44,80,,,,10.1016/j.desal.2010.02.034
Piperazine,,,2,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,40,3,80,54,58,10,1000,1000,1000,,,10.1,35,70,,,,10.1016/j.desal.2010.02.034
Piperazine,,,0.25,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,30,30,60,55,,4,1000,1000,1000,1000,,12.6,15,95.3,97.1,45.5,,10.1038/s41467-020-15771-2
Piperazine,,,1,trimesoyl chloride (265.5),0.225,hexane,,,,,,,,,,,,,15,5,80,56,50,6,2000,2000,2000,,,7.5,,,97,,,10.1016/j.desal.2012.06.015
Piperazine,,,2,trimesoyl chloride (265.5),0.194,cyclohexane,,,,,,,,,,,,,10,3,80,57,,6,1000,1000,1000,,,10.5,,,92.5,,,10.1016/j.desal.2014.03.036
Piperazine,,,2,trimesoyl chloride (265.5),0.194,cyclohexane,,,,,,,,,,,,,10,3,80,4,,6,1000,1000,1000,,,14.2,,,95,,,10.1016/j.memsci.2005.12.014
Piperazine,,,2,trimesoyl chloride (265.5),0.194,cyclohexane,,,,,,,,,,,,,10,3,80,9,,6,1000,1000,1000,,,10,,,97.5,,,10.1016/j.desal.2013.08.021
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,sodium hydroxide,0.9,,,,,,,,,,,60,5,80,58,,6,1000,1000,1000,,,8,40,,90.5,,,10.1016/j.memsci.2015.07.013
Piperazine,,,0.3,trimesoyl chloride (265.5),0.45,hexane,,,,,,,,,,,,,120,,60,9,40,6,1000,1000,1000,,,6,,,94,,,10.1016/j.desal.2013.08.021
Piperazine,,,0.3,trimesoyl chloride (265.5),0.45,hexane,,,,,,,,,,,,,120,,60,25,40,6,1000,1000,1000,1000,,9.8,50,95,97,69,,doi.org/10.1021/acs.langmuir.6b04465
Piperazine,,,2,trimesoyl chloride (265.5),0.1875,hexane,,,,,,,,,,,,,60,2,60,27,100,5,1500,,1500,1500,1500,,27,,92,55,50,doi.org/10.1016/j.cej.2018.10.147
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,,,,,,,,120,2,70,29,,10,1000,,1000,1000,,4.6,50,,85,32,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,cetyltrimethylammonium bromide,0.1,,,,,,120,2,70,29,,10,1000,,1000,1000,,4.5,58,,90,31,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,cetyltrimethylammonium bromide,0.25,,,,,,120,2,70,29,,10,1000,,1000,1000,,5.4,53,,85,40,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,cetyltrimethylammonium bromide,0.5,,,,,,120,2,70,29,,10,1000,,1000,1000,,5.1,70,,82,45,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,triton X-100,0.1,,,,,,120,2,70,29,,10,1000,,1000,1000,,5.3,59,,71,33,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,triton X-100,0.25,,,,,,120,2,70,29,,10,1000,,1000,1000,,3,52,,66,54,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,triton X-100,0.5,,,,,,120,2,70,29,,10,1000,,1000,1000,,1.4,64,,51,71,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,sodum dodecyl sulfate,0.1,,,,,,120,2,70,29,,10,1000,,1000,1000,,4.9,45,,82,77,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,sodum dodecyl sulfate,0.25,,,,,,120,2,70,29,,10,1000,,1000,1000,,8.3,51,,82,73,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,Triethylamine,5,2.4,trimesoyl chloride (265.5),0.45,hexane,,,,,,sodum dodecyl sulfate,0.5,,,,,,120,2,70,29,,10,1000,,1000,1000,,7.6,40,,88,69,,doi.org/10.1016/j.memsci.2009.07.033
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,10,5,80,30,,10,2000,2000,,,,5.5,46,91,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,20,5,80,30,,10,2000,2000,,,,7.4,65,98,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,40,5,80,30,,10,2000,2000,,,,7.8,65,99,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,60,5,80,30,,10,2000,2000,,,,6.5,55,97,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,40,5,40,30,,10,2000,2000,,,,8.5,45,90,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,40,5,60,30,,10,2000,2000,,,,8,62,98,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,40,5,80,30,,10,2000,2000,,,,7.7,67,99,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,40,5,100,30,,10,2000,2000,,,,5.5,65,98,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,40,3,80,30,,10,2000,2000,,,,8.3,65,98,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,40,5,80,30,,10,2000,2000,,,,7.5,68,99,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,,,,,8,,,,,,,,40,10,80,30,,10,2000,2000,,,,6.5,55,96,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,sodium hydroxide,,,,8,,,,,,,,40,5,80,30,,10,2000,2000,,,,4.8,65,98,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,0.2,trimesoyl chloride (265.5),0.34,IP1016,sodium phosphate,,,,8,,,,,,,,40,5,80,30,,10,2000,2000,,,,7.6,68,98,,,,10.1016/j.memsci.2007.11.002
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,90,5,80,35,160,10.3,2000,1000,,,,11.9,50,90,,,,doi.org/10.1016/j.memsci.2009.06.025
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,sodum dodecyl sulfate,0.1,,,,,,,,,,,90,5,80,35,160,10.3,2000,1000,,,,11.9,50,90,,,,doi.org/10.1016/j.memsci.2009.06.025
Piperazine,,,1,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,90,5,80,35,160,10.3,2000,1000,,,,14.1,10,45,,,,doi.org/10.1016/j.memsci.2009.06.025
Piperazine,,,1,trimesoyl chloride (265.5),0.15,hexane,sodium hydroxide,0.9,,,,,,,,,,,90,5,80,35,160,10.3,2000,1000,,,,16.5,10,45,,,,doi.org/10.1016/j.memsci.2009.06.025
Piperazine,,,2,isophthaloyal  chloride  (203.02),0.15,hexane,,,,,,,,,,,,,90,5,80,35,160,10.3,2000,,,,,2.4,40,,,,,doi.org/10.1016/j.memsci.2009.06.025
Piperazine,,,2,isophthaloyal  chloride  (203.02),0.15,hexane,sodium hydroxide,0.9,,,,,,,,,,,90,5,80,35,160,10.3,2000,,,,,5,75,,,,,doi.org/10.1016/j.memsci.2009.06.025
Piperazine,,,1.5,trimesoyl chloride (265.5),0.75,hexane,,,,,,,,,,,,,60,720,22,13,60,7.5,2000,,,,,6,30,,,,,doi.org/10.1016/S1383-5866(02)00095-3
Piperazine,,,1.5,trimesoyl chloride (265.5),0.75,hexane,,,,,,,,,,,,,60,720,22,13,60,5.5,,2000,,,,6,,92,,,,doi.org/10.1016/S1383-5866(02)00095-3
Piperazine,,,1.5,trimesoyl chloride (265.5),0.75,hexane,,,,,,,,,,,,,60,720,22,13,60,5,,,2000,,,6,,,95,,,doi.org/10.1016/S1383-5866(02)00095-3
Piperazine,,,1.5,trimesoyl chloride (265.5),0.75,hexane,,,,,,,,,,,,,60,720,22,13,60,5,1000,,1000,,,5.8,10,,96,,,doi.org/10.1016/S1383-5866(02)00095-3
Piperazine,,,1.5,trimesoyl chloride (265.5),0.75,hexane,,,,,,,,,,,,,60,720,22,13,60,6.7,1000,,1000,,,5.820895522,15,,97,,,doi.org/10.1016/S1383-5866(02)00095-3
Piperazine,,,1.5,trimesoyl chloride (265.5),0.75,hexane,,,,,,,,,,,,,60,720,22,13,60,8,1000,,1000,,,6.125,17,,97,,,doi.org/10.1016/S1383-5866(02)00095-3
Piperazine,,,1,trimesoyl chloride (265.5),0.05,hexane,triethylamine,1,,,,,,,,,,,10,1440,22,3,168,6.89,1000,1000,1000,1000,,6.037735849,22,95,99,77,,doi.org/10.1002/app.1387
Piperazine,,,1,trimesoyl chloride (265.5),0.05,hexane,triethylamine,1,,,,,,,,,,,10,1440,22,3,168,13.7,1000,1000,1000,1000,,5.182481752,27,94,98,79,,doi.org/10.1002/app.1387
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,1.5,584,1200,1420,952,,,40,97,91,97,,doi.org/10.1021/ie0497994
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,2.5,584,1200,1420,952,,,36,97,92,97,,doi.org/10.1021/ie0497994
